pg,os,type,os_code,os_arch,pkg,ext,pname,miss,hide,pkg_repo,pkg_ver,count
16,d12.x86_64,deb,d12,x86_64,pg_orphaned,pg_orphaned,postgresql-16-pg-orphaned,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,pg_parquet,pg_parquet,postgresql-16-pg-parquet,t,f,pigsty,0.4.0,1
16,d12.x86_64,deb,d12,x86_64,pg_partman,pg_partman,postgresql-16-partman,t,f,pgdg,5.2.4,1
16,d12.x86_64,deb,d12,x86_64,pg_permissions,pg_permissions,postgresql-16-pg-permissions,t,f,pgdg,1.3,2
16,d12.x86_64,deb,d12,x86_64,pg_plan_filter,plan_filter,postgresql-16-pg-plan-filter,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_polyline,pg_polyline,postgresql-16-pg-polyline,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_prefix,prefix,postgresql-16-prefix,t,f,pgdg,1.2.10,1
16,d12.x86_64,deb,d12,x86_64,pg_prioritize,prioritize,postgresql-16-prioritize,t,f,pgdg,1.0.4,1
16,d12.x86_64,deb,d12,x86_64,pg_profile,pg_profile,postgresql-16-pg-profile,t,f,pigsty,4.8,1
16,d12.x86_64,deb,d12,x86_64,pg_protobuf,pg_protobuf,postgresql-16-pg-protobuf,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,pg_qualstats,pg_qualstats,postgresql-16-pg-qualstats,t,f,pgdg,2.1.1,1
16,d12.x86_64,deb,d12,x86_64,pg_random,random,postgresql-16-random,t,f,pigsty,2.0.0,1
16,d12.x86_64,deb,d12,x86_64,pg_rational,pg_rational,postgresql-16-rational,t,f,pgdg,0.0.2,1
16,d12.x86_64,deb,d12,x86_64,pg_readme,pg_readme,postgresql-16-pg-readme,t,f,pigsty,0.7.0,1
16,d12.x86_64,deb,d12,x86_64,pg_readonly,pg_readonly,postgresql-16-pg-readonly,t,f,pigsty,1.0.0,1
16,d12.x86_64,deb,d12,x86_64,pg_redis_pubsub,redis,postgresql-16-pg-redis-pubsub,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_relusage,pg_relusage,postgresql-16-pg-relusage,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_render,pg_render,postgresql-16-pg-render,t,f,pigsty,0.1.2,1
16,d12.x86_64,deb,d12,x86_64,pg_repack,pg_repack,postgresql-16-repack,t,f,pgdg,1.5.2,1
16,d12.x86_64,deb,d12,x86_64,pg_rrule,pg_rrule,postgresql-16-pg-rrule,t,f,pgdg,0.2.0+git20211101.d7d10f2,1
16,d12.x86_64,deb,d12,x86_64,pg_savior,pg_savior,postgresql-16-pg-savior,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_schedoc,schedoc,postgresql-16-pg-schedoc,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_search,pg_search,postgresql-16-pg-search,t,f,pigsty,0.16.2,1
16,d12.x86_64,deb,d12,x86_64,pg_semver,semver,postgresql-16-semver,t,f,pgdg,0.40.0,1
16,d12.x86_64,deb,d12,x86_64,pg_session_jwt,pg_session_jwt,postgresql-16-pg-session-jwt,t,f,pigsty,0.3.1,1
16,d12.x86_64,deb,d12,x86_64,pg_show_plans,pg_show_plans,postgresql-16-show-plans,t,f,pgdg,2.1.5,1
16,d12.x86_64,deb,d12,x86_64,pg_similarity,pg_similarity,postgresql-16-similarity,t,f,pgdg,1.0,1
16,d12.x86_64,deb,d12,x86_64,pg_smtp_client,pg_smtp_client,postgresql-16-pg-smtp-client,t,f,pigsty,0.2.0,1
16,d12.x86_64,deb,d12,x86_64,pg_snakeoil,pg_snakeoil,postgresql-16-snakeoil,t,f,pgdg,1.4,1
16,d12.x86_64,deb,d12,x86_64,pg_sqlog,pg_sqlog,postgresql-16-pg-sqlog,t,f,pigsty,1.6,1
16,d12.x86_64,deb,d12,x86_64,pg_squeeze,pg_squeeze,postgresql-16-squeeze,t,f,pgdg,1.8.0,1
16,d12.x86_64,deb,d12,x86_64,pg_stat_kcache,pg_stat_kcache,postgresql-16-pg-stat-kcache,t,f,pgdg,2.3.0,1
16,d12.x86_64,deb,d12,x86_64,pg_stat_monitor,pg_stat_monitor,postgresql-16-pg-stat-monitor,t,f,pigsty,2.2.0,1
16,d12.x86_64,deb,d12,x86_64,pg_statement_rollback,pg_statement_rollback,postgresql-16-pg-statement-rollback,t,f,pigsty,1.4,1
16,d12.x86_64,deb,d12,x86_64,pg_store_plans,pg_store_plans,postgresql-16-pg-store-plan,t,f,pigsty,1.8,1
16,d12.x86_64,deb,d12,x86_64,pg_strom,pg_strom,,t,f,,,0
16,d12.x86_64,deb,d12,x86_64,pg_summarize,pg_summarize,postgresql-16-pg-summarize,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_task,pg_task,postgresql-16-pg-task,t,f,pigsty,1.0.0,1
16,d12.x86_64,deb,d12,x86_64,pg_tde,pg_tde,percona-postgresql-16,t,f,,,0
16,d12.x86_64,deb,d12,x86_64,pg_tiktoken,pg_tiktoken,postgresql-16-pg-tiktoken,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_timeseries,timeseries,postgresql-16-pg-timeseries,t,f,pigsty,0.1.6,1
16,d12.x86_64,deb,d12,x86_64,pg_tle,pg_tle,postgresql-16-pg-tle,t,f,pigsty,1.5.1,1
16,d12.x86_64,deb,d12,x86_64,pg_tokenizer,pg_tokenizer,postgresql-16-pg-tokenizer,t,f,pigsty,0.1.0,1
16,d12.x86_64,deb,d12,x86_64,pg_tracing,pg_tracing,postgresql-16-pg-tracing,t,f,pigsty,0.1.3,1
16,d12.x86_64,deb,d12,x86_64,pg_track_settings,pg_track_settings,postgresql-16-pg-track-settings,t,f,pgdg,2.1.2,1
16,d12.x86_64,deb,d12,x86_64,pg_tzf,tzf,postgresql-16-tzf,t,f,pigsty,0.2.2,1
16,d12.x86_64,deb,d12,x86_64,pg_uint128,uint128,postgresql-16-pg-uint128,t,f,pigsty,1.0.0,1
16,d12.x86_64,deb,d12,x86_64,pg_upless,pg_upless,postgresql-16-pg-upless,t,f,pigsty,0.0.3,1
